38 Provinsi,,,
,Jumlah Desa Tertinggal menurut Provinsi (Desa),,
,Desa Sangat Tertinggal,Desa Tertinggal,Jumlah
,2020,2020,2020
ACEH,21,894,915
SUMATERA UTARA,401,1765,2166
SUMATERA BARAT,0,42,42
RIAU,5,93,98
JAMBI,4,111,115
SUMATERA SELATAN,1,247,248
BENGKULU,1,220,221
LAMPUNG,0,87,87
KEP. BANGKA BELITUNG,0,0,0
KEP. RIAU,0,9,9
DKI JAKARTA,-,-,-
JAWA BARAT,0,5,5
JAWA TENGAH,0,16,16
DI YOGYAKARTA,0,0,0
JAWA TIMUR,0,94,94
BANTEN,0,39,39
BALI,0,0,0
NUSA TENGGARA BARAT,0,16,16
NUSA TENGGARA TIMUR,6,1121,1127
KALIMANTAN BARAT,69,742,811
KALIMANTAN TENGAH,13,394,407
KALIMANTAN SELATAN,9,129,138
KALIMANTAN TIMUR,1,110,111
KALIMANTAN UTARA,41,223,264
SULAWESI UTARA,0,71,71
SULAWESI TENGAH,9,187,196
SULAWESI SELATAN,4,163,167
SULAWESI TENGGARA,6,202,208
GORONTALO,0,20,20
SULAWESI BARAT,5,143,148
MALUKU,41,507,548
MALUKU UTARA,11,375,386
PAPUA BARAT,690,868,1558
PAPUA BARAT DAYA,-,-,-
PAPUA,4131,884,5015
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5469,9777,15246
