38 Provinsi,,,
,Jumlah Desa Tertinggal menurut Provinsi (Desa),,
,Desa Sangat Tertinggal,Desa Tertinggal,Jumlah
,2019,2019,2019
ACEH,57,1653,1710
SUMATERA UTARA,605,1930,2535
SUMATERA BARAT,0,80,80
RIAU,9,238,247
JAMBI,5,174,179
SUMATERA SELATAN,7,445,452
BENGKULU,3,303,306
LAMPUNG,0,180,180
KEP. BANGKA BELITUNG,0,1,1
KEP. RIAU,0,31,31
DKI JAKARTA,-,-,-
JAWA BARAT,0,27,27
JAWA TENGAH,0,42,42
DI YOGYAKARTA,0,0,0
JAWA TIMUR,1,199,200
BANTEN,1,73,74
BALI,0,1,1
NUSA TENGGARA BARAT,0,16,16
NUSA TENGGARA TIMUR,31,1532,1563
KALIMANTAN BARAT,156,836,992
KALIMANTAN TENGAH,31,547,578
KALIMANTAN SELATAN,20,280,300
KALIMANTAN TIMUR,1,213,214
KALIMANTAN UTARA,52,247,299
SULAWESI UTARA,0,134,134
SULAWESI TENGAH,15,363,378
SULAWESI SELATAN,5,188,193
SULAWESI TENGGARA,12,305,317
GORONTALO,1,28,29
SULAWESI BARAT,9,194,203
MALUKU,122,566,688
MALUKU UTARA,29,473,502
PAPUA BARAT,856,731,1587
PAPUA BARAT DAYA,-,-,-
PAPUA,4152,942,5094
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,6180,12972,19152
