Provinsi,Desa Sangat Tertinggal_2021,Desa Tertinggal_2021,Jumlah_2021
ACEH,20.0,688.0,708.0
SUMATERA UTARA,321.0,1527.0,1848.0
SUMATERA BARAT,1.0,26.0,27.0
RIAU,1.0,64.0,65.0
JAMBI,3.0,83.0,86.0
SUMATERA SELATAN,0.0,137.0,137.0
BENGKULU,2.0,100.0,102.0
LAMPUNG,0.0,25.0,25.0
KEP. BANGKA BELITUNG,0.0,0.0,0.0
KEP. RIAU,0.0,2.0,2.0
DKI JAKARTA,0.0,0.0,0.0
JAWA BARAT,0.0,1.0,1.0
JAWA TENGAH,0.0,5.0,5.0
DI YOGYAKARTA,0.0,0.0,0.0
JAWA TIMUR,0.0,73.0,73.0
BANTEN,0.0,29.0,29.0
BALI,0.0,0.0,0.0
NUSA TENGGARA BARAT,0.0,6.0,6.0
NUSA TENGGARA TIMUR,4.0,951.0,955.0
KALIMANTAN BARAT,37.0,576.0,613.0
KALIMANTAN TENGAH,18.0,317.0,335.0
KALIMANTAN SELATAN,9.0,106.0,115.0
KALIMANTAN TIMUR,0.0,89.0,89.0
KALIMANTAN UTARA,41.0,181.0,222.0
SULAWESI UTARA,0.0,45.0,45.0
SULAWESI TENGAH,7.0,126.0,133.0
SULAWESI SELATAN,1.0,108.0,109.0
SULAWESI TENGGARA,4.0,136.0,140.0
GORONTALO,0.0,8.0,8.0
SULAWESI BARAT,2.0,110.0,112.0
MALUKU,26.0,418.0,444.0
MALUKU UTARA,4.0,302.0,306.0
PAPUA BARAT,564.0,941.0,1505.0
PAPUA BARAT DAYA,0.0,0.0,0.0
PAPUA,3996.0,974.0,4970.0
PAPUA SELATAN,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0
INDONESIA,5061.0,8154.0,13215.0
